Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
26-05-2023,07:48,Rotterdam Centraal,08:04,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
25-05-2023,16:39,Rotterdam Alexander,16:57,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
25-05-2023,07:57,Rotterdam Centraal,08:15,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
24-05-2023,16:00,Rotterdam Alexander,16:12,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
24-05-2023,08:13,Rotterdam Centraal,08:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
23-05-2023,16:13,Rotterdam Alexander,16:30,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
23-05-2023,07:59,Rotterdam Centraal,08:16,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
22-05-2023,17:23,Rotterdam Alexander,17:39,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
22-05-2023,07:57,Rotterdam Centraal,08:13,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
21-05-2023,22:02,Rotterdam Centraal,22:04,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
17-05-2023,16:43,Rotterdam Alexander,16:56,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
17-05-2023,08:01,Rotterdam Centraal,08:14,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
16-05-2023,16:59,Rotterdam Alexander,17:11,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
16-05-2023,08:17,Rotterdam Centraal,08:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
15-05-2023,15:21,Rotterdam Alexander,15:37,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
15-05-2023,07:58,Rotterdam Centraal,08:13,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
13-05-2023,01:19,Den Haag Laan van NOI,01:51,Rotterdam Centraal,"€3,54","€0,00",Reis,2.0,Reizen op Rekening Trein,,
13-05-2023,17:39,Rotterdam Centraal,18:05,Den Haag Laan van NOI,"€3,54","€0,00",Reis,2.0,Reizen op Rekening Trein,,
12-05-2023,17:06,Alexander,17:28,Eendrachtsplein,"€2,76","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
12-05-2023,16:59,Rotterdam Alexander,17:05,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
12-05-2023,08:30,Rotterdam Centraal,08:44,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-05-2023,16:51,Rotterdam Alexander,17:08,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-05-2023,07:59,Rotterdam Centraal,08:13,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-05-2023,17:50,Rotterdam Alexander,18:09,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-05-2023,08:30,Rotterdam Centraal,08:44,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
09-05-2023,20:02,Rotterdam Alexander,20:27,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
09-05-2023,08:30,Rotterdam Centraal,08:44,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
08-05-2023,18:29,Rotterdam Alexander,18:44,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
08-05-2023,08:20,Rotterdam Centraal,08:35,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
07-05-2023,20:12,Breda,20:48,Rotterdam Centraal,"€6,60","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-05-2023,15:49,Rotterdam Centraal,16:38,Breda,"€6,60","€0,00",Reis,2.0,Treinreizen,,
05-05-2023,15:49,Rotterdam Alexander,16:38,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-05-2023,07:59,Rotterdam Centraal,08:13,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
04-05-2023,19:41,Station Noord,19:56,Centraal Station,"€1,67","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
04-05-2023,19:29,Rotterdam Noord,19:30,Rotterdam Noord,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
04-05-2023,17:48,Rotterdam Alexander,18:00,Rotterdam Noord,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
04-05-2023,07:50,Rotterdam Centraal,08:04,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
03-05-2023,17:58,Rotterdam Alexander,18:13,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
03-05-2023,08:00,Rotterdam Centraal,08:13,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
02-05-2023,18:27,Rotterdam Alexander,18:43,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
02-05-2023,07:57,Rotterdam Centraal,08:19,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
01-05-2023,14:03,Rotterdam Centraal,14:03,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
30-04-2023,19:36,Den Haag HS,20:05,Rotterdam Centraal,"€3,30","€0,00",Reis,2.0,Reizen op Rekening Trein,,
30-04-2023,19:09,Kurhaus,19:34,Station Hollands Spoor,"€2,33","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
30-04-2023,14:40,Rotterdam Centraal,15:14,Den Haag Centraal,"€3,42","€0,00",Reis,2.0,Reizen op Rekening Trein,,
30-04-2023,14:33,Burg. Meineszplein,14:38,Rotterdam Centraal,"€7,37","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
28-04-2023,16:11,Rotterdam Alexander,16:30,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
28-04-2023,07:57,Rotterdam Centraal,08:14,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
27-04-2023,20:00,Amsterdam Centraal,21:19,Rotterdam Alexander,"€9,66","€0,00",Reis,2.0,Treinreizen,,
27-04-2023,20:00,Rotterdam Alexander,21:19,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
27-04-2023,12:19,Rotterdam Centraal,13:49,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
27-04-2023,12:19,Rotterdam Alexander,13:49,Amsterdam Centraal,"€9,66","€0,00",Reis,2.0,Treinreizen,,
27-04-2023,11:49,Rotterdam Centraal,12:04,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
26-04-2023,17:28,Rotterdam Alexander,17:41,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
26-04-2023,17:03,Hesseplaats,17:09,Alexander,"€0,27","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
26-04-2023,16:40,Alexander,16:49,Hesseplaats,"€1,35","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
26-04-2023,16:37,Rotterdam Alexander,16:39,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
26-04-2023,13:29,Rotterdam Centraal,13:43,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
